User_id,Gender,Car,Realty,children_count,income_amount,income_type,education_type,Family_status,Housing_type,Days_birth,Days_employed,Mobil,Work_phone,Phone,Email,Occupation_type,Count_family_members,Reject
0,F,N,Y,0,27000.0,Working,Secondary / secondary special,Married,House / apartment,-19128,-1323,1,1,0,0,Security staff,2.0,0
1,F,N,N,0,27000.0,Working,Higher education,Civil marriage,House / apartment,-14869,-5067,1,1,0,0,Managers,2.0,0
2,F,Y,Y,0,29250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20086,365243,1,0,0,0,,2.0,0
3,M,N,Y,0,30150.0,Pensioner,Lower secondary,Married,House / apartment,-23770,365243,1,0,0,0,,2.0,0
4,M,N,Y,0,31500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22564,365243,1,0,0,0,,2.0,0
5,F,Y,N,0,31500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762,-7734,1,1,1,0,Cleaning staff,2.0,0
6,F,N,N,0,31500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20836,365243,1,0,0,0,,2.0,0
7,F,Y,N,0,31531.5,Pensioner,Secondary / secondary special,Married,House / apartment,-22104,365243,1,0,0,0,,2.0,0
8,F,N,Y,0,31950.0,Pensioner,Lower secondary,Married,House / apartment,-20748,365243,1,0,0,0,,2.0,0
9,F,N,Y,0,32400.0,State servant,Secondary / secondary special,Married,House / apartment,-19200,-5637,1,0,0,0,Managers,2.0,0
10,F,N,Y,1,33300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22784,365243,1,0,0,0,,3.0,0
11,F,N,N,0,33300.0,Pensioner,Secondary / secondary special,Married,Office apartment,-19605,365243,1,0,0,0,,2.0,0
12,F,N,N,0,33750.0,Pensioner,Higher education,Married,House / apartment,-19054,365243,1,0,0,0,,2.0,0
13,F,N,N,0,36000.0,Working,Secondary / secondary special,Married,With parents,-14500,-459,1,1,0,0,Core staff,2.0,1
14,F,N,N,1,36000.0,Working,Secondary / secondary special,Married,Rented apartment,-13160,-5543,1,1,0,0,Laborers,3.0,0
15,F,N,Y,1,36000.0,Working,Secondary / secondary special,Married,House / apartment,-12417,-1113,1,0,1,0,Core staff,3.0,0
16,F,N,N,0,36000.0,Working,Secondary / secondary special,Separated,Municipal apartment,-14846,-154,1,1,0,0,Cleaning staff,1.0,0
17,F,N,N,0,36900.0,Pensioner,Higher education,Married,House / apartment,-22581,365243,1,0,0,0,,2.0,0
18,M,N,Y,0,36900.0,Working,Secondary / secondary special,Married,House / apartment,-18565,-1800,1,0,0,0,Laborers,2.0,0
19,F,N,Y,3,37800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13014,365243,1,0,0,0,,5.0,0
20,F,Y,N,0,38025.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20969,365243,1,0,1,0,,2.0,0
21,M,Y,N,0,38250.0,Pensioner,Lower secondary,Married,House / apartment,-22943,365243,1,0,1,0,,2.0,0
22,F,N,Y,0,38250.0,Pensioner,Higher education,Married,House / apartment,-23379,365243,1,0,1,0,,2.0,0
23,F,N,Y,0,38700.0,Working,Secondary / secondary special,Married,House / apartment,-17645,-9349,1,0,0,0,,2.0,0
24,F,N,Y,0,39600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22220,365243,1,0,0,0,,2.0,0
25,F,N,Y,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21177,365243,1,0,0,0,,2.0,0
26,F,N,Y,0,40500.0,Pensioner,Lower secondary,Married,House / apartment,-23933,365243,1,0,0,0,,2.0,0
27,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,1,0,0,Cleaning staff,2.0,0
28,F,N,N,0,40500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21091,365243,1,0,0,0,,1.0,0
29,F,N,N,1,40500.0,State servant,Secondary / secondary special,Married,Rented apartment,-13052,-1952,1,0,0,0,Cooking staff,3.0,0
30,F,N,Y,0,40500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18207,365243,1,0,1,0,,2.0,0
31,M,N,Y,0,42300.0,Pensioner,Lower secondary,Married,House / apartment,-22600,365243,1,0,0,0,,2.0,0
